Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
368,202424056114,Published,"WADGAONKAR VINAYAK S., KHURPADE PRATIKSHA,  BHATKAR SIRAJ, SHENOY VIGNESH, TATPATE PALLAVI",A PROCESS FOR REMOVAL OF CR (VI) FROM WATER USING LIMA BEAN HUSK DERIVED ADSORBENT,Dr. Vishwanath Karad MIT World Peace University,7/23/2024,3/28/2025,13/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/12lwvMK5EqSVHFc3G_Jir1AfrEuYkGzZv/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Petroleum Engineering,India,"6,9,12,13,15",https://docs.google.com/document/d/1xorxrRAystR3nw5OrCPW6QggSpNqU-R3/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
369,202424056115,Published,"YADHAV ADINATH D., MINDE PRAVIN, SAOJI ATHARVA",A PRECAST SINGLE TEE GIRDER WITH GLASS FIBER REINFORCED POLYMER IN BRIDGE CONSTRUCTION,Dr. Vishwanath Karad MIT World Peace University,"	23-07-2024","	28-03-2025","	13/2025",Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1RNH51WY7xIYy-7J1XkRh3MKqUEcWV4Yt/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Civil Engineering,India,"9,11,12,13,17",https://docs.google.com/document/d/1Of6jZVG2xWiEKGKV2IVSbQ9C9MMi2OiB/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
370,202424056116,Published,"HIWALE ANIL S., NARKHEDE GAURAV G, PATIL ABHISHEK, SHENDKAR MAYURESH  ",A SOLAR POWERED ELECTRIC VEHICLE ENHANCEMENT SYSTEM,Dr. Vishwanath Karad MIT World Peace University,"	23-07-2024","	28-03-2025",13/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1T57bZZWgosoPnRQxVrzL-9dkoq4ihaVo/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"7,9,11,12,13",https://docs.google.com/document/d/1jglJUgX_TpcPsPBaXzNuDUCWHFnuThhW/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
371,202424071845,Published,"CHAVAN HRISHIKESH, PATIL NISHANT, GUPTA PRATUSH, LINGAM DEVASHREE, MANDYAL RASHI, SINHARAY RAJIB K.",A MACHINE LEARNING MODEL FOR LITHOLOGY PREDICTION USING WELL LOGS AND DRILLING DATA,Dr. Vishwanath Karad MIT World Peace University,"	23-09-2024","	04-04-2025",14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1jAXSLCmlpNGVb6OmgJ6K4osnFrOcjtx0/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Petroleum Engineering,India,"4,9,12,13,17",https://docs.google.com/document/d/1eUEr8kmQoIrr4pVBqWqA5c5cKz1ryEn0/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
372,202424067739,Published,"INGLE GANESH SHIVAJI, SHINDE SUMANT, SONAWANE MAHESH B",A MOULD FOR PREPARATION OF LIGHT WEIGHT CONCRETE PANEL BY USING E-WASTE,Dr. Vishwanath Karad MIT World Peace University,9/7/2024,"	14-03-2025",11/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1uFXyYIn_f2dOcrtC3cSlw5Q3TeC2WRa8/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Civil Engineering,India,"9,11,12,13,17",https://docs.google.com/document/d/1Obhi3Kl0hTS4mdZn271aOy3DQBsiuY1s/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
373,202424071844,Published,"WADGAONKAR VINAYAK S., KHURPADE PRATIKSHA,  BHATKAR SIRAJ, SHENOY VIGNESH, TATPATE PALLAVI ",A METAL ION ADSORBENT FOR COPER (II) REMOVAL FROM RED GRAM HUSK,Dr. Vishwanath Karad MIT World Peace University,"	23-09-2024","	04-04-2025",14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1XfNIBvwEjfGb7k55ZyKWcyzd_EkANaov/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Petroleum Engineering,India,"6,9,12,13,15",https://docs.google.com/document/d/1AGWr7_erbtCGDQcKSVOWYJSpQP0Qzkm_/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
374,202424071843,Published,"PATEL HITIK, KULKARNI KAUSTUBH GANESH, TAMHANKAR NEEL, HAVALDAR SANJAY NARAYAN ",A WATER CLEANING BOAT,Dr. Vishwanath Karad MIT World Peace University,"	23-09-2024",4/4/2025,"	14/2025",Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1WhUu0JJxZTF_SzhXNqX5DmiAfkxNS-O0/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"6,7,11,12,13,14",https://docs.google.com/document/d/1Z_-McdT49uwN8NjYHGvC0Iscn1EzAw0Q/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
375,202424071846,Published,"RANE RASHMI ASHWINIKUMAR, SABU NIDHI, UTTAM SANKET, SHIRBHATE VENKATESH DILIP,  CHAUDHARI KEYUR SUNIT, DESHPANDE KALYANI PRASHANT",A SYSTEM FOR EVALUATING AND RANKING CANDIDATE RESUMES,Dr. Vishwanath Karad MIT World Peace University,"	23-09-2024",4/4/2025,14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1mOPxkaWjHTueuoqfS4kwGY5Qb8-ZuK5N/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"4,9,12,13,17",https://docs.google.com/document/d/1b5K9ggPsF-rB6kakpYAkFV3Z286IhTOo/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
376,202424071842,Published,"WAGHMARE PRATAP, THOTE ABHISHEK M",A SOFT UNDERWATER MULTIARMED ROBOTIC GRIPPER,Dr. Vishwanath Karad MIT World Peace University,9/23/2024,"	04-04-2025",14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1tpguxzk9uj4pV1ReJexSDSciZ-gBZnOS/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,12,13,14",https://docs.google.com/document/d/1YE--TLUU3yR6lqz6X0-BzU8wfEoCJIyI/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
377,202421074365,Published,"Priti Swapnil Chakurkar, Tanish Jain, Arishi Gupta, Anupriya Kathpalia, Rugved Borade",A SYSTEM FOR OCR-BASED FOOD ALLERGEN DETECTION AND RECOMMENDATION FOR FOOD PACKAGING,Dr. Vishwanath Karad MIT World Peace University,10/1/2024,"	04-04-2025",14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/13Ri5acamExMNqyZ8LZC1fZo1FzdnCz48/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"3,4,9,12,17",https://docs.google.com/document/d/1f3ltMOjGy9fWfTrXpflFopx1KvOPC-At/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
378,202521003223,Published,"MAHESH JOSHI, VARSHA SWAPNIL NAIK",Method and System for Controlling Telephonic Communications,Dr. Vishwanath Karad MIT- World Peace University,1/14/2025,4/18/2025,16/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/13db1hHVRLqbDAXAkKddNBPd4rwxGgDCx/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"3,9,11,12,17",https://docs.google.com/document/d/1pG_XJzLuFcNcOFSIpq52-miLtCfnn0iG/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
379,202521007694,Published,"Niraj S. Topare, Sunita Raut-Jadhav, Pratik V Tabhane, Gauri V. Thakur, Aditi D. Maity, Anish Khan, Murthy Chavali",A PROCESS FOR TREATING WASTEWATER USING PHYSICALLY MODIFIED ADSORBENTS COMPRISING NATURAL WASTE MATE,Dr. Vishwanath Karad MIT- World Peace University,1/30/2025,4/4/2025,14/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/11VtiBwAgsRiJvCJqnoPeESaSDHkDgZUP/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Chemical Engineering,India,"6,9,12,13,15",https://docs.google.com/document/d/1MCAg5gZW794i4q7SMOMniBjaNz3bR94y/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
380,202521011526,Published,"Dr. Sagar Kanekar, Dr. Anand D. Kulkarni, Dr. Pratiksha D. Khurpade, Vivek Chakraborty, Ruchi Mathad",A METHOD OF CHARACTERIZATION OF BACTERIORHODOPSIN IN HALOARCHAEAL ORGANISM,Dr. Vishwanath Karad MIT- World Peace University,2/11/2025,4/18/2025,16/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1ZXWm1ohXy_ClPPcltom3dvlDTzQtK91m/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Chemical Engineering,India,"4,7,9,12,13",https://docs.google.com/document/d/1TzbY5860UhjfBdHR43NgxTBxTqCNhcPG/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
381,202521014218,Published,"Chaitanya Mandar Sahasrabudhe, Daman Chakraborty, Purnesh Jain, Dr. Omkar K. Kulkarni, Dr. Ganesh M. Kakandikar",A LEVITATING DEVICE FOR VEHICLES,Dr. Vishwanath Karad MIT- World Peace University,2/19/2025,4/18/2025,16/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1SMo-b3vhyLd2ke1BA0iEK8S1Kel3r81X/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"7,9,11,12,13",https://docs.google.com/document/d/1lOkZvW737AlWPlJszR3CsQ8A2YXHOmNu/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
382,202521032745,Published,"Rajesh Vinayak Patil, Hamza Anwar Tamboowala, Vedang Umesh Pasalkar",AN ASSISTIVE ROBOTIC SYSTEM,Dr. Vishwanath Karad MIT- World Peace University,4/2/2025,4/18/2025,16/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1bY4JKDlyDG5t_HHPejV1rYk05G-cZcHN/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"3,9,10,11,12",https://docs.google.com/document/d/14wZlJe-ZTMBh7zY_5FLkltAll5bNZVIG/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
383,202521034900,Published,Nilesh K. Birajdar,A SYSTEM FOR PROTECTING A RIDER AND PILLION OF A TWO-WHEELER VEHICLE,Dr. Vishwanath Karad MIT- World Peace University,4/9/2025,5/2/2025,18/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1IeNE6XyS9jsTY7Uve40UG_JYuX-0CVa9/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"3,9,11,12,12",https://docs.google.com/document/d/1soRPLFb6c4dgp5hpjz1TFb8CBYJgUUpB/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
384,202521034899,Published,"Hemlata Sandip Ohal, Dr. Shamla Mantri, Abhishek Avinash Tiwari, Sakshi Hanumant Zagade, Adarsh Kumar Baranwal",A SYSTEM FOR MONITORING HUMAN BRAIN ACTIVITY,Dr. Vishwanath Karad MIT- World Peace University,4/9/2025,5/2/2025,18/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/13x3GXzzuHQ4miu7g3yqVHy2tOLSJ4-FA/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Polytechnic,India,"3,4,9,10,12",https://docs.google.com/document/d/17IJpljmkkl-RLYh_XjBkOJzJGP-l-RRX/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
385,202521035502,Published,"RASHMI ASHWINIKUMAR RANE, VISHWAJIT SHARAD CHAVAN, SHIVANGI MISHRA, VAISHALI MODI, ATULIT SINGH CHANDRAWAT, MUSKAN YADAV",A SYSTEM AND METHOD FOR CUTTING GRASS,Dr. Vishwanath Karad MIT- World Peace University,4/11/2025,5/2/2025,18/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1tU5NixzMWot2ie0aVGnVkd-B-1fLL47p/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"7,9,11,12,13",https://docs.google.com/document/d/1IgcRPJOmtGTEzehk9dWlohQcPmc8U6N4/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
386,202521037762,Published,"Manas Jain, Varad Charholikar, Dr. Ashish Pawar, Dr. Madhuri Bhalekar",A SYSTEM FOR DISPENSING ITEMS,Dr. Vishwanath Karad MIT- World Peace University,4/18/2025,5/16/2025,20/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1qAZir5UbNXjvENPgdRGxtN3sptCuWJ8q/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"8,9,11,12,17",https://docs.google.com/document/d/1lkCw93z0UtVgNULsWpgk7FjqNqQhdpzB/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
387,202521038105,Published,"VRUSHALI RAJARAM PAGIRE, ANURADHA CHETAN PHADKE",A SYSTEM AND METHOD FOR UNDERWATER MOVING OBJECT DETECTION UNDER DYNAMIC BACKGROUND CONDITION,Dr. Vishwanath Karad MIT- World Peace University,4/21/2025,5/16/2025,20/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1DKhsRE5U3CQGbci9maSP8KqFCim4vSYm/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"9,11,13,14",https://docs.google.com/document/d/1Ond1GWhpXNzhmOC6FDhDh4EvGNlrzHPA/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
388,202521038106,Published,"RUHI PATANKAR, DR. PRADNYA KULKARNI, DR. SARIKA BOBDE, NIMISHA JAMES, VARUN BALAWADE, ARIN KHOPKAR, VEDANT VICHARE",A SYSTEM AND METHOD FOR REGULATING ROOM LIGHTING,Dr. Vishwanath Karad MIT- World Peace University,4/21/2025,5/16/2025,20/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1W2j9sZrX36i_Rm7ufQh3aDJFNXfj5xYf/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"7,9,11,12,13",https://docs.google.com/document/d/157VpLivYPsfsAL4B_LhxOX4DojXcU55r/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
389,202424065762,Published,"AHER, Jaideep Vinod; GADEKAR, Abhijit Suresh; BARVE, Shivprakash B.; PATEL, Vibha",A MODULAR UNMANNED GROUND VEHICLE WITH MULTI-MODAL SENSING AND CONTROL CAPABILITIES,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; AHER, Jaideep Vinod; GADEKAR, Abhijit Suresh; BARVE, Shivprakash B.; PATEL, Vibha",8/30/2024,5/23/2025,21/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Z5Q3b_KMoZNZB2vevo_155mhJHAwMuyU/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,11,13,14",https://docs.google.com/document/d/15T1SQiBaxDrhya2ukh1oQGEfbNy1a0Tg/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
390,202424065763,Published,"JOSHI, Ratnadip R.",A SUSTAINED RELEASE GREEN SMART BIO FERTILIZER PELLET,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; JOSHI, Ratnadip R.",8/30/2024,5/16/2025,20/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/122c3XWEK7tsl5qq8-lp3C61lOLclKtkd/view,https://ipindiaservices.gov.in/publicsearch,Chemical Engineering,India,"2,9,12,13,15",https://docs.google.com/document/d/1cnaaLVLAozzNjWBdpWer9d61q7sAqvoL/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
391,202424092938,Published,"RAZDAN SURBHI, KARKALE PRANAY PRAMOD, BHATE HARDIK, AAHER SHRUTI, AAGRE RUGVED, BANSAL GAURAV, POKALE ATHARVA",A BAMBOO MOISTURE CHAMBER,"DR. VISHWANATH KARAD MIT WORLD PEACE
UNIVERSITY",11/27/2024,5/30/2025,22/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1FwB7EznW1IPNc1P7kS-f4Db0cVR7pfmL/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,12,13,15",https://docs.google.com/document/d/1tTua7oEe-yqR-vEotbbMQFTCQ0a-LK4N/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
392,202521043907,Published,"NEEL TAMHANKAR, HITIK PATEL, DR. KAUSTUBH GANESH KULKARNI, DR. ATUL MAROTRAO ELGANDELWAR, SOUMYAJIT GHOSH, AYUSH ABHAY WADGAONKAR",A MACHINE FOR WASHING FRESH PRODUCE,Dr. Vishwanath Karad MIT World Peace University,5/6/2025,5/30/2025,22/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1on9nlU4p1IG0cmTI5bvpxp0fywUEonIl/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"2,3,9,12",https://docs.google.com/document/d/1TofeNcBpuIdeu67n3GyzWJ9x0XU6uauT/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
393,202424092945,Published,"KUKADE SHWETA, ZODPE HARSHALI, KUMAWAT
MANISHA",AN UPLINK SCHEDULING SYSTEM TO ENHANCE SPECTRAL EFFICIENCY OF 5G NETWORK,"DR. VISHWANATH KARAD MIT WORLD PEACE
UNIVERSITY",11/27/2024,5/30/2025,22/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1SWadkZSUtJYacLFG5Ug910Y8jAiTIS9x/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"9,11,12,17",https://docs.google.com/document/d/1hRQkG5ZX9txQH32qdztjU87KP20hYJFn/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
394,202521040737,Published,"Dr. Ujjwala S. Rawandale, Kabeer Latane, Priyanshu Krishna, Sahil Hunswadkar, Dr. Trushita Chaware",IoT-Based Web Switch Motor Control for Remote Automation,Dr. Vishwanath Karad MIT World Peace University,4/28/2025,5/30/2025,22/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1cnYgtTgcFJxMpquOsSkKOnczDmzGc4bM/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"7,9,11,12",https://docs.google.com/document/d/1SFHmekzAmUKVvUHqjtZEPEWSeBMxOz84/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
395,202424066374,Published,"LOKHANDE Netra M, AHIRRAO Shripad, SHARMA Abhishek Kumar, PRAKASH Ravi, DHAMALE, Sharvari, SHAIKH Moeez",A SYSTEM FOR SURVEILLANCE ENHANCEMENT AND CONTROL DISPLAY USING MACHINE LEARNING FOR TRAFFIC VIOLATION,"DR. VISHWANATH KARAD MIT WORLD PEACE
UNIVERSITY",9/2/2024,5/30/2025,22/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1X-lrQVqczOm31qsEetX7lZkvSE_SMCQv/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"3,9,11,12",https://docs.google.com/document/d/1IChFhIif_fet8UubRHZydZpeTiaegpAS/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
396,202521049068,Published,"DR. MAHESH VASANTRAO KULKARNI, DR DEEPAK POPAT HUJARE, DR GIRISH SHARAD BARPANDE",A COMPOSITE LAYER FOR EFFECTIVE NOISE REDUCTION IN ABSORPTIVE MUFFLER,Dr. Vishwanath Karad MIT- World Peace University,5/21/2025,6/20/2025,25/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Zt2qzejwQEnJ6iu7Y8FhFg56YRb2F3jC/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"3,9,11,12",https://docs.google.com/document/d/1kTA4Tk_IaP6sBb2uod1DwcpeAyvF4trg/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
397,202521050171,Published,"DR. TRUPTI NITIN BARASKAR, VEDARTH RAJU KUMTEKAR, TANMAY NEMA",A METHOD FOR PROVIDING A NETWORK SECURITY,Dr. Vishwanath Karad MIT- World Peace University,5/23/2025,6/27/2025,26/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1jOV-3Ems3GEO9MdUFVc30cErlac0PBvG/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"9,11,16",https://docs.google.com/document/d/1zURtwDI22DZivVJcNEwJSCGetxnCDgwA/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
398,202521050692,Published,"DR. VIBHA PATEL, KUNAL DIWAN, IRWIN KAUR, HARSHEEN SARTAJ, DR. TRUSHITA CHAWARE, DR. KRISHNA WARHADE",A BILATERAL PATCH ANTENNA FOR MOISTURE DETECTION,Dr. Vishwanath Karad MIT- World Peace University,5/27/2025,6/27/2025,26/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1G9dGIHR9b7RI9i8pDv8aaafJMDJMmm-d/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"2,9,12",https://docs.google.com/document/d/1DL5u6-qmVtAeBIg1_82wp_Gj8W5BXsvd/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
399,202521051232,Published,"YASH TRIGUN KULKARNI, DR. SUMITRA MOTADE",A SYSTEM FOR REAL-TIME COMPLIANCE MONITORING,Dr. Vishwanath Karad MIT- World Peace University,5/28/2025,6/27/2025,26/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/13VbyqzjXxI4ioYNz_RN_2Ixs2_Loy28d/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Electrical and Electronics Engineering,India,"3,8,9",https://docs.google.com/document/d/1eYVhTQfhgZWkxSwmOXIAV3pR1GUZ9P9f/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
400,202521053728,Published,"Dr. Anil Shivsharan Mashalkar, Deep Shirode, Ritvik Navnath Gosavi, Shravan Maheshwari, Akshay Rane",SYSTEM FOR DISPENSING MULTIPLE LIQUIDS,Dr. Vishwanath Karad MIT- World Peace University,6/3/2025,6/27/2025,26/2025,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1tRGgMLPJhiQcNGaFJ9GiKu1jR5Abvh6Y/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"3,9,12",https://docs.google.com/document/d/1A5Wy6szEfVDDMv3GdSNCU1kEb8tZXah3/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
401,202521054287,Published,"VARSHA NAIK, TANISHA CHAKRABORTY, MANASVI DEKHMUKH, HARSH CHAUHAN",A MICRO-DOPPLER BASED TARGETCLASSIFICATION SYSTEM,Dr. Vishwanath Karad MIT- World Peace University,6/5/2025,6/27/2025,26/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1nEhsCqfIj4NrPktLPXN2GC82uooViQY-/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Computer Engineering & Technology,India,"9,11,16",https://docs.google.com/document/d/1hqTlerawb6eex9U6vjRM470VIiE6EeKC/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
402,202521057027,Published,"CHINMAY KANE, PUSKARAJ D SONAWWANAY",A BAR MAKING DEVICE,Dr. Vishwanath Karad MIT- World Peace University,6/13/2025,7/4/2025,27/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1xTvhitXaYRacHJY9WR4Xyl-CCeP9YFi0/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"2,8,9",https://docs.google.com/document/d/1sFA0E9t2zieM8KVEbYko257OfcYljnmP/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
403,202521057482,Published,"RAHUL ASHOK PATIL, DR VAIBHAV NARENDRA DESHMUKH",A SOLAR-POWERED EVAPORATION DEVICE,Dr. Vishwanath Karad MIT- World Peace University,6/16/2025,7/4/2025,27/2025,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/file/d/1O-h4MxiawgHj1hsijN9YErnYoAk-u2vJ/view?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"7,9,13",https://docs.google.com/document/d/1mDiTYN7PmDYWb8FzsD__RejT5f-maF2G/edit?usp=drive_link&ouid=107012002616528930821&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
